,date,time,race,type,race perceived prior,experience,location,sunsettime,dusktime,mins_sunset,mins_dusk,mins_stop_time,mins_before_dusk,itp,dark
4778,2022-02-04 20:00:00,1900-01-01 20:00:00,white,"3_Non-moving violation, including registration",No,7.0,999 E Blithedale,17:37:26,18:05:33,1057.0,1086.0,1200.0,-114.0,1,1
4779,2022-02-04 20:03:00,1900-01-01 20:03:00,asian,1_Moving violation,No,6.0,PLATFORM BRIDGE ROAD / PT REYES PET RD,17:37:26,18:05:33,1057.0,1086.0,1203.0,-117.0,1,1
4780,2022-02-04 20:31:00,1900-01-01 20:31:00,hispanic/latino(a),"3_Non-moving violation, including registration",No,1.0,N. San Pedro Rd and Meadow,17:37:26,18:05:33,1057.0,1086.0,1231.0,-145.0,1,1
4781,2022-02-04 21:18:00,1900-01-01 21:18:00,hispanic/latino(a),2_Equipment violation,No,2.0,131/US101N,17:37:26,18:05:33,1057.0,1086.0,1278.0,-192.0,0,1
4782,2022-02-04 21:46:00,1900-01-01 21:46:00,black/african american,2_Equipment violation,No,3.0,500 redwood highway frontage ,17:37:26,18:05:33,1057.0,1086.0,1306.0,-220.0,0,1
4783,2022-02-04 21:53:00,1900-01-01 21:53:00,hispanic/latino(a),2_Equipment violation,No,1.0,NB 101 at De Long ,17:37:26,18:05:33,1057.0,1086.0,1313.0,-227.0,0,1
4789,2022-02-05 15:24:00,1900-01-01 15:24:00,white,"3_Non-moving violation, including registration",No,,Sir Francis Drake Blvd at Nicasio Valley Rd,17:38:34,18:06:37,1059.0,1087.0,924.0,163.0,0,0
4793,2022-02-05 20:15:00,1900-01-01 20:15:00,white,1_Moving violation,No,7.0,11600 pt Reyes Petaluma rd,17:38:34,18:06:37,1059.0,1087.0,1215.0,-128.0,1,1
4794,2022-02-05 20:45:00,1900-01-01 20:45:00,white,2_Equipment violation,No,2.0,131/US101N,17:38:34,18:06:37,1059.0,1087.0,1245.0,-158.0,1,1
4795,2022-02-05 22:28:00,1900-01-01 22:28:00,hispanic/latino(a),2_Equipment violation,No,1.0,Merrydale at North San Pedro Rd,17:38:34,18:06:37,1059.0,1087.0,1348.0,-261.0,0,1
4796,2022-02-05 23:21:00,1900-01-01 23:21:00,white,1_Moving violation,No,6.0,Hwy 101/Lucky Dr,17:38:34,18:06:37,1059.0,1087.0,1401.0,-314.0,0,1
4797,2022-02-05 23:36:00,1900-01-01 23:36:00,white,1_Moving violation,No,2.0,600 Redwood Highway frontage road,17:38:34,18:06:37,1059.0,1087.0,1416.0,-329.0,0,1
4801,2022-02-06 22:57:00,1900-01-01 22:57:00,black/african american,2_Equipment violation,No,5.0,100 Gate 6 Rd,17:39:41,18:07:41,1060.0,1088.0,1377.0,-289.0,0,1
4802,2022-02-05 21:05:00,1900-01-01 21:05:00,white,2_Equipment violation,No,5.0,300 shoreline highway ,17:38:34,18:06:37,1059.0,1087.0,1265.0,-178.0,1,1
